metric,before_n,before_mean,before_median,before_std,after_n,after_mean,after_median,after_std,pct_change_mean
calibrated_probability,2,0.5006533653941005,0.5006533653941005,0.49504365609027445,36,0.24121003047912382,0.0013408499071374536,0.4167757048613723,-51.820950950913925
confidence,2,0.9900873121805489,0.9900873121805489,0.0013067307882010937,36,0.9789538774962744,0.9973183001857251,0.06592610775897742,-1.124490188623311
severity,2,0.5033658255822957,0.5033658255822957,0.49663417441770435,36,0.24999130933364436,0.0016090198885649442,0.43063880060872817,-50.33605846315583
total_cpu_pct,2,23.5,23.5,0.6999999999999993,36,103.74444444444444,83.75,100.32128234506388,341.4657210401891
switch_packets_per_second,2,2364.1071428571363,2364.1071428571363,540.0595238095121,36,1301.966546431052,1420.2159090909126,605.454729595389,-44.92776901568161
switch_throughput_mbps,2,5.158084444444412,5.158084444444412,5.158084444444412,36,3.542203027117938,3.704807026732121,1.915892022453156,-31.32716097866296
active_mitigations_count,2,0.0,0.0,0.0,36,1.9166666666666667,2.0,0.27638539919628335,nan
unique_attackers_seen,2,2.0,2.0,0.0,36,2.9166666666666665,3.0,0.27638539919628335,45.83333333333333
