phase,n_samples,tp,fn,fp,tn,precision,recall,f1
all,114,61,6,7,40,0.8970588235294118,0.9104477611940298,0.9037037037037037
before_first_mitigation,12,0,2,0,10,nan,0.0,nan
after_first_mitigation,102,61,4,7,30,0.8970588235294118,0.9384615384615385,0.9172932330827067
