metric,before_n,before_mean,before_median,before_std,after_n,after_mean,after_median,after_std,pct_change_mean
calibrated_probability,4,0.5010647067101672,0.5006533653941005,0.49609056321570794,63,0.2747903262719601,0.003650819882750511,0.43111129371502044,-45.158714514908326
confidence,4,0.9921785814221948,0.9913558987900615,0.0030959029811944575,63,0.967727752923522,0.9954560021869838,0.09903724076783471,-2.464357622357146
severity,4,0.5029852495994419,0.5033658255822957,0.49701504181652945,63,0.2818932088483716,0.004380983859300613,0.43831963146107156,-43.95596907208303
total_cpu_pct,4,189.5,106.8,203.34908408940524,63,95.53809523809525,85.1,88.23245709635866,-49.5841186078653
switch_packets_per_second,4,2151.879578754576,2183.2142857142894,610.3390613269912,63,1332.447295348608,1464.1463414634268,675.167137887362,-38.079839201793234
switch_throughput_mbps,4,6.0065218009767865,6.854959157509161,4.0396491582889915,63,14.627454912482312,4.084905365853692,19.176971758024468,143.5262102953423
active_mitigations_count,4,0.0,0.0,0.0,63,1.9047619047619047,2.0,0.2935435239509036,nan
unique_attackers_seen,4,1.0,1.0,1.0,63,2.4761904761904763,3.0,0.5870870479018074,147.61904761904762
