metric_group,metric_name,before_n,before_mean,before_median,after_n,after_mean,after_median,pct_change_mean
controller_cpu,onos1_cpu,4,55.8275,26.53,63,23.751269841269835,19.71,-57.45596732565522
controller_cpu,onos2_cpu,4,68.485,36.57,63,30.935396825396825,23.66,-54.82894527940889
controller_cpu,onos3_cpu,4,41.6075,30.9,63,24.698730158730164,20.69,-40.638754650651535
switch_pps,s1_pps,4,520.8867521367513,511.66666666666754,63,336.30238259909,363.3333333333333,-35.436564431802125
switch_pps,s2_pps,4,632.400030525029,561.0714285714301,63,605.4566947409686,822.5,-4.26048932377369
switch_pps,s3_pps,4,476.4674908424911,339.7206959706958,63,441.70360142559247,4.76190476190471,-7.296172369583709
switch_pps,s4_pps,4,528.3753052503043,500.7188644688647,63,79.8780756407287,4.102564102564067,-84.88232231010711
