elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
161.5,1,1,30366,30366.0,30366.0,0.0,1.0,15183.0,78,18710209,0.0,0.9707,0.677,6,0.8548,34290.0,34.33,67.13,16.7,1228.9
165.9,1,1,33721,33721.0,33721.0,0.0,1.0,16860.5,110,23270637,16.0,1.0368,0.6585,7,0.9118,36657.5,18.71,42.66,26.7,1229.0
170.1,1,1,35981,35981.0,35981.0,0.0,1.0,17990.5,111,28746374,1.5,1.0757,0.6486,7,0.9151,38303.5,20.46,36.58,14.2,1229.1
175.6,1,1,38394,38394.0,38394.0,0.0,1.0,19197.0,137,35608246,13.0,1.0939,0.6505,7,0.9104,40941.5,39.72,81.83,14.7,1230.1
179.8,1,1,40030,40030.0,40030.0,0.0,1.0,20015.0,133,42577221,2.0,1.1519,0.6449,7,0.92,41708.5,9.11,10.01,12.7,1230.1
183.1,1,1,39373,39373.0,39373.0,0.0,1.0,19686.5,121,45474003,0.5,1.0623,0.6453,7,0.9145,41698.5,5.45,6.61,12.1,1230.1
187.2,1,1,39676,39676.0,39676.0,0.0,1.0,19838.0,121,50401599,0.5,1.0988,0.641,7,0.9145,41698.5,4.15,4.6,11.6,1232.0
191.2,1,1,39947,39947.0,39947.0,0.0,1.0,19973.5,121,54784365,0.0,1.1286,0.637,7,0.9145,41698.5,3.09,4.42,12.1,1232.0
195.3,1,1,51528,51528.0,51528.0,0.0,1.0,25764.0,88,65948762,0.0,1.2377,0.5043,6,0.9265,13930.5,3.36,3.71,11.6,1232.0
199.4,0,0,51796,51796.0,51796.0,0.0,1.0,25898.0,88,70197522,0.0,1.2582,0.4972,6,0.9265,13931.0,5.39,6.42,11.6,1232.0
203.4,0,0,2415,2415.0,2415.0,0.0,1.0,1207.5,8,45277078,0.0,1.5791,0.4315,5,0.0,1556.5,3.97,4.58,9.4,1232.0
207.5,0,0,2627,2627.0,2627.0,0.0,1.0,1313.5,8,47819338,0.0,1.5799,0.4179,5,0.0,1640.5,4.64,5.09,8.4,1232.0
211.5,0,0,2748,2748.0,2748.0,0.0,1.0,1374.0,10,47998828,1.0,1.6073,0.3971,6,0.0,1633.5,6.84,14.85,7.9,1232.0
215.6,0,0,2870,2870.0,2870.0,0.0,1.0,1435.0,10,48183292,0.0,1.5988,0.3919,6,0.0,1685.5,3.09,3.68,8.6,1232.0
219.7,0,0,2988,2988.0,2988.0,0.0,1.0,1494.0,9,48370240,0.0,1.565,0.4167,5,0.0,1867.5,6.98,7.4,8.1,1232.0
223.7,0,0,1386,1386.0,1386.0,0.0,1.0,693.0,9,2054102,1.0,0.1597,0.9834,4,0.3333,2040.0,3.42,3.89,8.9,1232.0
227.8,0,0,1422,1422.0,1422.0,0.0,1.0,711.0,12,2093787,0.0,0.1825,0.9842,4,0.5,2085.0,3.54,3.87,9.1,1232.0
231.8,0,0,1532,1532.0,1532.0,0.0,1.0,766.0,9,4201465,1.0,0.5376,0.9073,3,0.5,2085.0,2.98,3.78,6.9,1232.0
235.9,0,0,1823,1823.0,1823.0,0.0,1.0,911.5,10,12079581,0.0,1.0224,0.7625,3,0.5,2085.0,3.31,4.6,8.6,1232.0
240.0,0,0,2127,2127.0,2127.0,0.0,1.0,1063.5,10,20482365,0.0,1.2654,0.6073,3,0.5,1700.5,4.76,6.5,8.9,1232.0
244.0,0,0,1013,1013.0,1013.0,0.0,1.0,506.5,3,26270588,0.0,0.9574,0.6209,2,0.0,943.5,5.89,6.1,9.6,1232.0
248.1,0,0,1310,1310.0,1310.0,0.0,1.0,655.0,5,34150369,0.0,0.9571,0.6217,2,0.5,1221.0,3.6,3.75,9.6,1232.4
252.2,0,0,1742,1742.0,1742.0,0.0,1.0,871.0,7,44924013,1.0,1.2001,0.5764,3,0.5,1504.5,2.99,3.63,8.1,1232.4
256.2,0,0,2250,2250.0,2250.0,0.0,1.0,1125.0,6,58972291,0.0,1.3505,0.5261,3,0.5,1774.5,47.06,59.06,15.4,1232.4
260.3,0,0,3539,3539.0,3539.0,0.0,1.0,1769.5,46,67405706,20.0,1.77,0.4077,4,0.4762,2185.5,34.45,54.64,18.2,1232.4
264.4,1,2,6369,6369.0,6369.0,0.0,1.0,3184.5,48,79962048,24.0,1.7899,0.4407,5,0.5417,4195.5,40.67,70.22,17.2,1232.4
268.4,1,2,8037,8037.0,8037.0,0.0,1.0,4018.5,50,87121229,1.0,1.7698,0.4488,6,0.5926,5395.5,3.54,3.68,14.1,1232.4
272.8,1,2,8210,8210.0,8210.0,0.0,1.0,4105.0,50,91847927,0.0,1.7895,0.4472,6,0.5926,5493.0,12.95,29.07,14.0,1232.4
277.1,1,2,11425,11425.0,11425.0,0.0,1.0,5712.5,53,105537677,0.5,1.7482,0.4558,6,0.5172,7793.5,4.07,7.33,16.1,1232.4
280.6,1,2,13600,13600.0,13600.0,0.0,1.0,6800.0,53,109371957,1.0,1.7102,0.4605,6,0.4615,9371.0,23.5,25.13,15.4,1232.4
284.9,1,2,15584,15584.0,15584.0,0.0,1.0,7792.0,53,110596063,0.0,1.6861,0.4214,6,0.6275,9828.5,24.01,27.75,14.5,1232.4
289.0,1,2,16327,16327.0,16327.0,0.0,1.0,8163.5,53,111062897,0.0,1.6721,0.4463,6,0.6275,10908.5,3.85,4.15,11.0,1232.4
293.0,1,2,17940,17940.0,17940.0,0.0,1.0,8970.0,53,112050745,0.0,1.6358,0.4955,6,0.6275,13368.5,46.98,67.36,15.5,1232.4
297.4,1,2,19179,19179.0,19179.0,0.0,1.0,9589.5,53,112803957,0.0,1.604,0.524,6,0.6275,15048.5,28.75,50.45,18.0,1227.9
301.4,1,2,20526,20526.0,20526.0,0.0,1.0,10263.0,75,113605700,15.5,1.5891,0.5524,7,0.7662,16338.0,17.84,22.68,13.7,1228.0
306.0,1,2,24678,24678.0,24678.0,0.0,1.0,12339.0,59,116144539,6.0,1.5436,0.5592,6,0.7627,19414.5,7.56,16.52,16.1,1228.0
309.7,1,2,27074,27074.0,27074.0,0.0,1.0,13537.0,59,117547769,0.0,1.5209,0.5649,6,0.7627,21304.0,4.38,5.3,12.9,1229.3
313.1,1,2,29352,29352.0,29352.0,0.0,1.0,14676.0,59,118898131,0.0,1.501,0.5593,6,0.7627,22871.5,3.39,3.76,15.5,1229.3
