episode_id,start_step,end_step,duration_steps,duration_seconds,attacker_host,attacker_ip,prob_mean,prob_max,prob_min,prob_std,prob_at_start,prob_at_end,steps_above_threshold,detection_rate,detection_latency_s,policy_reaction_latency_s,episode_tp,episode_fp,episode_tn,episode_fn,episode_precision,episode_recall,steps_would_mitigate,mitigation_coverage,would_block_steps,would_rate_limit_steps,allow_steps,unique_target_ips,avg_total_packets,avg_pkt_rate_pps,avg_fwd_packets_delta,avg_throughput_ratio,avg_src_entropy,avg_top_dominance,avg_syn_ratio_top,ctrl_cpu_mean,ctrl_cpu_peak,engine_cpu_mean,lstm_ms_mean,dqn_ms_mean,step_total_ms_mean
1,21,45,25,108.2,iot2,10.10.0.102,0.9556,0.9997,0.6536,0.1005,0.9382,0.8136,21,0.84,0.0,0.0,21,0,0,4,1.0,0.84,25,1.0,25,0,0,1,28695.2,14347.58,28695.2,1.0,1.4854,0.5438,0.7657,23.79,139.25,14.84,140.05,2.54,1927.44
2,62,89,28,108.6,h4,10.10.0.4,0.9691,0.9993,0.5002,0.0984,0.97,0.94,26,0.9286,0.0,0.0,26,0,0,2,1.0,0.9286,28,1.0,28,0,0,1,27031.7,13515.86,27031.7,1.0,1.4002,0.6011,0.7077,13.43,70.22,14.63,151.37,3.66,2024.93
3,104,126,23,91.1,h2,10.10.0.2,0.906,0.9997,0.0022,0.2857,0.9933,0.0022,21,0.913,0.0,0.0,21,0,0,2,1.0,0.913,23,1.0,23,0,0,1,19928.9,9964.43,19928.9,1.0,1.2321,0.5744,0.6042,18.53,150.59,14.45,139.13,3.1,1878.11
