step,elapsed_s,gt_label,attack_episode_id,raw_prob,attack_prob,binary_pred,is_tp,is_fp,is_tn,is_fn,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1
61,260.3,0,0,0.000961,0.000703,0,0,0,1,0,21,1,36,4,0.9545,0.84,0.8936
62,264.4,1,2,0.965357,0.970047,1,1,0,0,0,22,1,36,4,0.9565,0.8462,0.898
63,268.4,1,2,0.998926,0.999211,1,1,0,0,0,23,1,36,4,0.9583,0.8519,0.902
64,272.8,1,2,0.998458,0.998849,1,1,0,0,0,24,1,36,4,0.96,0.8571,0.9057
65,277.1,1,2,0.99734,0.997964,1,1,0,0,0,25,1,36,4,0.9615,0.8621,0.9091
66,280.6,1,2,0.997422,0.998029,1,1,0,0,0,26,1,36,4,0.963,0.8667,0.9123
67,284.9,1,2,0.992717,0.994158,1,1,0,0,0,27,1,36,4,0.9643,0.871,0.9153
68,289.0,1,2,0.994565,0.995699,1,1,0,0,0,28,1,36,4,0.9655,0.875,0.918
69,293.0,1,2,0.996702,0.99745,1,1,0,0,0,29,1,36,4,0.9667,0.8788,0.9206
70,297.4,1,2,0.998867,0.999166,1,1,0,0,0,30,1,36,4,0.9677,0.8824,0.9231
71,301.4,1,2,0.982996,0.985803,1,1,0,0,0,31,1,36,4,0.9688,0.8857,0.9254
72,306.0,1,2,0.996788,0.997519,1,1,0,0,0,32,1,36,4,0.9697,0.8889,0.9275
73,309.7,1,2,0.99575,0.996675,1,1,0,0,0,33,1,36,4,0.9706,0.8919,0.9296
74,313.1,1,2,0.996166,0.997015,1,1,0,0,0,34,1,36,4,0.9714,0.8947,0.9315
75,316.6,1,2,0.996126,0.996983,1,1,0,0,0,35,1,36,4,0.9722,0.8974,0.9333
76,320.9,1,2,0.997415,0.998023,1,1,0,0,0,36,1,36,4,0.973,0.9,0.9351
77,324.9,1,2,0.811283,0.821161,0,0,0,0,1,36,1,36,5,0.973,0.878,0.9231
78,329.2,1,2,0.997446,0.998048,1,1,0,0,0,37,1,36,5,0.9737,0.881,0.925
79,333.2,1,2,0.998259,0.998692,1,1,0,0,0,38,1,36,5,0.9744,0.8837,0.9268
80,336.8,1,2,0.997407,0.998017,1,1,0,0,0,39,1,36,5,0.975,0.8864,0.9286
81,341.2,1,2,0.998451,0.998843,1,1,0,0,0,40,1,36,5,0.9756,0.8889,0.9302
82,345.2,1,2,0.998883,0.999178,1,1,0,0,0,41,1,36,5,0.9762,0.8913,0.9318
83,349.8,1,2,0.998392,0.998797,1,1,0,0,0,42,1,36,5,0.9767,0.8936,0.9333
84,354.1,1,2,0.999019,0.999282,1,1,0,0,0,43,1,36,5,0.9773,0.8958,0.9348
85,358.0,1,2,0.997066,0.997744,1,1,0,0,0,44,1,36,5,0.9778,0.898,0.9362
86,361.4,1,2,0.998359,0.998771,1,1,0,0,0,45,1,36,5,0.9783,0.9,0.9375
87,364.9,1,2,0.500163,0.500171,0,0,0,0,1,45,1,36,6,0.9783,0.8824,0.9278
88,369.0,1,2,0.958991,0.964238,1,1,0,0,0,46,1,36,6,0.9787,0.8846,0.9293
89,373.0,1,2,0.932949,0.940016,1,1,0,0,0,47,1,36,6,0.9792,0.8868,0.9307
90,377.1,0,0,0.939319,0.946,1,0,1,0,0,47,2,36,6,0.9592,0.8868,0.9216
91,381.2,0,0,0.818252,0.828141,0,0,0,1,0,47,2,37,6,0.9592,0.8868,0.9216
92,385.2,0,0,0.913162,0.921228,1,0,1,0,0,47,3,37,6,0.94,0.8868,0.9126
93,389.3,0,0,0.001892,0.001426,0,0,0,1,0,47,3,38,6,0.94,0.8868,0.9126
94,393.4,0,0,0.002383,0.001815,0,0,0,1,0,47,3,39,6,0.94,0.8868,0.9126
95,397.4,0,0,0.005901,0.004687,0,0,0,1,0,47,3,40,6,0.94,0.8868,0.9126
96,401.5,0,0,0.00408,0.003186,0,0,0,1,0,47,3,41,6,0.94,0.8868,0.9126
97,405.5,0,0,0.003202,0.002473,0,0,0,1,0,47,3,42,6,0.94,0.8868,0.9126
98,409.6,0,0,0.001873,0.001412,0,0,0,1,0,47,3,43,6,0.94,0.8868,0.9126
99,413.7,0,0,0.001948,0.00147,0,0,0,1,0,47,3,44,6,0.94,0.8868,0.9126
100,417.7,0,0,0.001462,0.001089,0,0,0,1,0,47,3,45,6,0.94,0.8868,0.9126
101,421.8,0,0,0.001691,0.001268,0,0,0,1,0,47,3,46,6,0.94,0.8868,0.9126
102,425.8,0,0,0.002258,0.001716,0,0,0,1,0,47,3,47,6,0.94,0.8868,0.9126
103,429.9,0,0,0.004586,0.003601,0,0,0,1,0,47,3,48,6,0.94,0.8868,0.9126
