step,elapsed_s,gt_label,attack_episode_id,dqn_action,nominated_ip,target_ip,skip_reason,is_sentinel_skip,is_accepted,attacker_gt_ip,correct_target
80,336.8,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
81,341.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
82,345.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
83,349.8,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
84,354.1,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
85,358.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
86,361.4,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
87,364.9,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
88,369.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
89,373.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
90,377.1,0,0,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
91,381.2,0,0,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
92,385.2,0,0,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
93,389.3,0,0,0,none,none,not_nominated,0,0,none,0
94,393.4,0,0,0,none,none,not_nominated,0,0,none,0
95,397.4,0,0,0,none,none,not_nominated,0,0,none,0
96,401.5,0,0,0,none,none,not_nominated,0,0,none,0
97,405.5,0,0,0,none,none,not_nominated,0,0,none,0
98,409.6,0,0,0,none,none,not_nominated,0,0,none,0
99,413.7,0,0,0,none,none,not_nominated,0,0,none,0
100,417.7,0,0,0,none,none,not_nominated,0,0,none,0
101,421.8,0,0,0,none,none,not_nominated,0,0,none,0
102,425.8,0,0,0,none,none,not_nominated,0,0,none,0
103,429.9,0,0,0,none,none,not_nominated,0,0,none,0
104,434.5,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
105,438.4,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
106,442.2,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
107,445.8,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
108,449.5,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
109,453.7,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
110,457.8,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
111,461.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
112,465.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
113,471.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
114,475.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
115,480.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
116,484.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
117,488.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
118,492.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
119,498.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
120,503.2,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
121,507.2,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
122,511.6,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
123,515.1,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
124,518.3,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
125,521.6,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
126,525.6,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,none,0
127,529.7,0,0,0,none,none,not_nominated,0,0,none,0
128,533.8,0,0,0,none,none,not_nominated,0,0,none,0
129,537.8,0,0,0,none,none,not_nominated,0,0,none,0
130,541.9,0,0,0,none,none,not_nominated,0,0,none,0
131,546.0,0,0,0,none,none,not_nominated,0,0,none,0
132,550.0,0,0,0,none,none,not_nominated,0,0,none,0
133,554.1,0,0,0,none,none,not_nominated,0,0,none,0
134,558.1,0,0,0,none,none,not_nominated,0,0,none,0
135,562.2,0,0,0,none,none,not_nominated,0,0,none,0
136,566.3,0,0,0,none,none,not_nominated,0,0,none,0
137,570.3,0,0,0,none,none,not_nominated,0,0,none,0
138,574.4,0,0,0,none,none,not_nominated,0,0,none,0
139,578.5,0,0,0,none,none,not_nominated,0,0,none,0
140,582.5,0,0,0,none,none,not_nominated,0,0,none,0
141,586.6,0,0,0,none,none,not_nominated,0,0,none,0
142,590.7,0,0,0,none,none,not_nominated,0,0,none,0
143,594.7,0,0,0,none,none,not_nominated,0,0,none,0
144,598.8,0,0,0,none,none,not_nominated,0,0,none,0
