elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
151.9,1,1,27560,27560.0,27560.0,0.0,1.0,13780.0,100,36361112,9.5,0.8222,0.7528,6,0.8372,11589.0,3.17,3.84,16.1,1194.8
155.9,1,1,28868,28868.0,28868.0,0.0,1.0,14434.0,104,37159175,2.0,0.8081,0.7588,6,0.8372,12216.5,14.62,22.69,12.3,1194.8
159.1,1,1,29015,29015.0,29015.0,0.0,1.0,14507.5,103,37273113,0.0,0.8124,0.7578,6,0.8372,12276.5,3.61,4.15,14.1,1195.3
163.1,1,1,29214,29214.0,29214.0,0.0,1.0,14607.0,105,41003123,1.0,0.8539,0.7798,6,0.8372,12276.5,4.32,5.24,12.6,1195.3
167.2,1,1,28584,28584.0,28584.0,0.0,1.0,14292.0,101,28566631,3.0,0.761,0.8188,6,0.8372,12276.5,2.96,4.7,12.0,1195.3
171.2,1,1,28341,28341.0,28341.0,0.0,1.0,14170.5,95,35912254,0.0,0.6859,0.8084,5,0.8372,12277.0,4.13,4.62,11.8,1188.3
175.3,0,0,28634,28634.0,28634.0,0.0,1.0,14317.0,97,43660791,0.0,0.7272,0.7856,5,0.8372,12277.0,4.3,5.4,12.3,1190.2
179.4,0,0,28919,28919.0,28919.0,0.0,1.0,14459.5,97,51669189,0.5,0.7639,0.7642,5,0.8372,12277.5,3.86,4.02,10.1,1190.2
183.4,0,0,1888,1888.0,1888.0,0.0,1.0,944.0,7,43575323,0.0,1.4227,0.5629,4,0.0,1523.0,4.42,5.24,8.8,1190.2
187.5,0,0,2284,2284.0,2284.0,0.0,1.0,1142.0,10,53305983,3.0,1.5436,0.5615,6,0.0,1800.5,3.28,4.36,7.6,1190.2
191.5,0,0,2875,2875.0,2875.0,0.0,1.0,1437.5,10,67225652,0.5,1.7794,0.5031,6,0.0,2070.5,3.73,4.6,7.4,1190.2
195.6,0,0,3278,3278.0,3278.0,0.0,1.0,1639.0,10,81837646,0.5,1.6296,0.4775,5,0.0,2352.5,7.8,8.65,8.9,1190.2
199.7,0,0,3868,3868.0,3868.0,0.0,1.0,1934.0,12,95363718,1.0,1.7177,0.4505,6,0.0,2618.0,4.26,5.07,8.8,1190.2
203.7,0,0,4539,4539.0,4539.0,0.0,1.0,2269.5,16,110126197,1.5,1.7781,0.4275,6,0.3333,2915.0,3.54,4.59,8.6,1190.2
207.8,0,0,5167,5167.0,5167.0,0.0,1.0,2583.5,14,123602795,0.5,1.8162,0.4093,6,0.3333,3176.0,3.43,5.68,8.6,1190.2
211.9,0,0,5830,5830.0,5830.0,0.0,1.0,2915.0,13,137745777,0.0,1.8485,0.3941,6,0.3333,3450.5,2.71,3.95,8.9,1190.2
