component,mean_ms,median_ms,p95_ms,p99_ms,max_ms,min_ms,std_ms,samples
preprocess_ms,94.577,72.685,212.414,347.064,362.33,44.49,62.978,150
lstm_inference_ms,116.404,81.94,265.446,371.607,427.76,65.66,69.694,150
dqn_inference_ms,2.313,1.39,4.432,11.802,66.94,0.93,5.538,150
step_total_ms,1989.027,2060.31,2283.698,2507.42,2696.8,1168.33,244.131,150
lstm_inference_ms [benign],94.076,76.325,278.137,347.821,382.5,66.05,62.73,70
lstm_inference_ms [attack],135.941,113.2,249.786,374.443,427.76,65.66,69.615,80
