step,elapsed_s,gt_label,attack_episode_id,raw_prob,attack_prob,binary_pred,is_tp,is_fp,is_tn,is_fn,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1
61,244.3,0,0,0.001992,0.001505,0,0,0,1,0,22,0,35,5,1.0,0.8148,0.898
62,248.5,0,0,0.004659,0.00366,0,0,0,1,0,22,0,36,5,1.0,0.8148,0.898
63,253.0,1,2,0.968798,0.973162,1,1,0,0,0,23,0,36,5,1.0,0.8214,0.902
64,256.4,1,2,0.983459,0.986207,1,1,0,0,0,24,0,36,5,1.0,0.8276,0.9057
65,259.9,1,2,0.975613,0.979278,1,1,0,0,0,25,0,36,5,1.0,0.8333,0.9091
66,264.2,1,2,0.985424,0.98792,1,1,0,0,0,26,0,36,5,1.0,0.8387,0.9123
67,268.2,1,2,0.042889,0.037487,0,0,0,0,1,26,0,36,6,1.0,0.8125,0.8966
68,272.3,1,2,0.037852,0.032875,0,0,0,0,1,26,0,36,7,1.0,0.7879,0.8814
69,276.4,1,2,0.042892,0.037489,0,0,0,0,1,26,0,36,8,1.0,0.7647,0.8667
70,280.4,1,2,0.705302,0.713427,0,0,0,0,1,26,0,36,9,1.0,0.7429,0.8525
71,284.5,1,2,0.122735,0.113487,0,0,0,0,1,26,0,36,10,1.0,0.7222,0.8387
72,288.6,1,2,0.253642,0.244525,0,0,0,0,1,26,0,36,11,1.0,0.7027,0.8254
73,292.7,1,2,0.027013,0.023069,0,0,0,0,1,26,0,36,12,1.0,0.6842,0.8125
74,296.7,1,2,0.186845,0.176962,0,0,0,0,1,26,0,36,13,1.0,0.6667,0.8
75,300.8,1,2,0.413611,0.409792,0,0,0,0,1,26,0,36,14,1.0,0.65,0.7879
76,304.8,1,2,0.701359,0.709373,0,0,0,0,1,26,0,36,15,1.0,0.6341,0.7761
77,308.9,1,2,0.105641,0.096867,0,0,0,0,1,26,0,36,16,1.0,0.619,0.7647
78,313.0,1,2,0.929357,0.936626,1,1,0,0,0,27,0,36,16,1.0,0.6279,0.7714
79,317.1,1,2,0.882752,0.891865,1,1,0,0,0,28,0,36,16,1.0,0.6364,0.7778
80,321.1,1,2,0.095003,0.086603,0,0,0,0,1,28,0,36,17,1.0,0.6222,0.7671
81,325.2,1,2,0.207101,0.197321,0,0,0,0,1,28,0,36,18,1.0,0.6087,0.7568
82,329.3,1,2,0.013159,0.010853,0,0,0,0,1,28,0,36,19,1.0,0.5957,0.7467
83,333.3,1,2,0.014526,0.012037,0,0,0,0,1,28,0,36,20,1.0,0.5833,0.7368
