step,elapsed_s,gt_label,attack_episode_id,dqn_action,nominated_ip,target_ip,skip_reason,is_sentinel_skip,is_accepted,attacker_gt_ip,correct_target
81,325.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
82,329.3,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
83,333.3,1,2,0,none,none,not_nominated,0,0,10.10.0.2,0
84,337.4,1,2,0,none,none,not_nominated,0,0,10.10.0.2,0
85,341.4,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
86,345.5,1,2,0,none,none,not_nominated,0,0,10.10.0.2,0
87,349.6,1,2,0,none,none,not_nominated,0,0,none,0
88,353.6,0,0,0,none,none,not_nominated,0,0,none,0
89,357.7,0,0,0,none,none,not_nominated,0,0,none,0
90,361.8,0,0,0,none,none,not_nominated,0,0,none,0
91,365.8,0,0,0,none,none,not_nominated,0,0,none,0
92,369.9,0,0,0,none,none,not_nominated,0,0,none,0
93,373.9,0,0,0,none,none,not_nominated,0,0,none,0
94,378.0,0,0,0,none,none,not_nominated,0,0,none,0
95,382.1,0,0,0,none,none,not_nominated,0,0,none,0
96,386.1,0,0,0,none,none,not_nominated,0,0,none,0
97,390.2,0,0,0,none,none,not_nominated,0,0,none,0
98,394.2,0,0,0,none,none,not_nominated,0,0,none,0
99,398.3,0,0,0,none,none,not_nominated,0,0,none,0
100,402.4,0,0,0,none,none,not_nominated,0,0,none,0
101,406.4,0,0,0,none,none,not_nominated,0,0,none,0
102,410.5,0,0,0,none,none,not_nominated,0,0,none,0
103,414.6,0,0,0,none,none,not_nominated,0,0,none,0
104,418.6,0,0,0,none,none,not_nominated,0,0,none,0
105,422.7,0,0,0,none,none,not_nominated,0,0,none,0
106,426.8,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
107,431.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
108,435.7,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
109,439.3,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
110,443.2,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
111,447.3,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
112,451.4,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
113,455.4,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
114,459.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
115,463.7,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
116,467.8,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
117,471.8,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
118,476.0,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
119,480.3,1,3,0,none,none,not_nominated,0,0,10.10.0.4,0
120,484.3,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
121,488.7,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
122,492.1,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
123,496.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
124,500.6,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
125,505.1,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
126,508.8,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
127,512.2,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
128,516.0,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
129,519.8,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
130,523.2,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
131,527.4,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
132,531.4,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.4,1
133,535.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,none,0
134,539.5,0,0,1,10.10.0.4,10.10.0.4,accepted,0,1,none,0
135,543.6,0,0,1,10.10.0.4,10.10.0.4,accepted,0,1,none,0
136,547.7,0,0,1,10.10.0.4,10.10.0.4,accepted,0,1,none,0
137,551.7,0,0,0,none,none,not_nominated,0,0,none,0
138,555.8,0,0,0,none,none,not_nominated,0,0,none,0
139,559.8,0,0,0,none,none,not_nominated,0,0,none,0
140,563.9,0,0,0,none,none,not_nominated,0,0,none,0
141,568.0,0,0,0,none,none,not_nominated,0,0,none,0
142,572.0,0,0,1,10.10.0.4,10.10.0.4,accepted,0,1,none,0
143,576.1,0,0,0,none,none,not_nominated,0,0,none,0
144,580.1,0,0,0,none,none,not_nominated,0,0,none,0
145,584.2,0,0,0,none,none,not_nominated,0,0,none,0
146,588.2,0,0,0,none,none,not_nominated,0,0,none,0
147,592.3,0,0,0,none,none,not_nominated,0,0,none,0
148,596.4,0,0,0,none,none,not_nominated,0,0,none,0
149,600.4,0,0,0,none,none,not_nominated,0,0,none,0
