fold,ROC-AUC,PR-AUC,F1,Precision,Recall
1,0.9995405318938935,0.9994114567151346,0.9812734082397003,0.9954407294832827,0.9675036927621861
2,0.9991394762709731,0.998996670272395,0.9828486204325131,0.9954682779456193,0.9705449189985272
3,0.9976778842718765,0.996782387155088,0.9792899408284024,0.9821958456973294,0.976401179941003
4,0.9989503696672144,0.9985653971095784,0.9828741623231572,0.9924812030075187,0.9734513274336283
5,0.9968900515713244,0.9966717624938597,0.9690566037735849,0.9922720247295209,0.9469026548672567
