timestamp_unix,attack_probability,attack_binary,severity_score,confidence
1768205896.423756,0.0038080220636078858,0,0.06778765980723016,0.9923839558727843
1768205898.477147,0.0031409534009648435,0,0.06778765980723016,0.9937180931980704
1768205900.459126,0.0034947626167335377,0,0.056620344633133035,0.9930104747665329
1768205902.493121,0.0023825494472055862,0,0.056620344633133035,0.9952349011055889
1768205904.508034,0.0023960536887426046,0,0.06106478907713303,0.9952078926225147
1768205906.536533,0.0013016427974663711,0,0.028571428572448977,0.9973967144050673
1768205908.541381,0.0011693776258438386,0,0.028571428572448977,0.9976612447483123
1768205910.564739,0.0011458230718452893,0,0.028571428572448977,0.9977083538563094
1768205912.607492,0.00118425568843715,0,0.028571428572448977,0.9976314886231257
1768205914.685559,0.0009241893721699053,0,0.028571428572448977,0.9981516212556601
1768205916.679141,0.0011233093244490653,0,0.028571428572448977,0.9977533813511019
1768205918.790356,0.0009657627230402585,0,0.028571428572448977,0.9980684745539194
1768205920.856063,0.001562295464495225,0,0.028571428572448977,0.9968754090710096
1768205922.828777,0.0017746115268700033,0,0.028571428572448977,0.9964507769462599
1768205924.860156,0.0014341526643505667,0,0.028571428572448977,0.9971316946712989
1768205926.869538,0.0022008281460367154,0,0.029285714286734182,0.9955983437079265
1768205928.830121,0.0018212662010683282,0,0.028571428572448977,0.9963574675978634
1768205930.869001,0.0016371806893293224,0,0.028571428572448977,0.9967256386213413
1768205932.91999,0.0024003246078801144,0,0.028571428572448977,0.9951993507842398
1768205935.144803,0.0023085198251157854,0,0.028571428572448977,0.9953829603497685
1768205936.9259,0.0019135276840436888,0,0.028571428572448977,0.9961729446319126
1768205938.956446,0.0014749325163128393,0,0.028571428572448977,0.9970501349673743
1768205941.007722,0.0015404929397684617,0,0.028571428572448977,0.9969190141204631
1768205942.991954,0.0013440653849242485,0,0.028571428572448977,0.9973118692301515
1768205945.100353,0.0011557121632967528,0,0.028571428572448977,0.9976885756734065
1768205947.075714,0.0008984759072678016,0,0.028571428572448977,0.9982030481854643
1768205949.072617,0.0009390231623940218,0,0.028571428572448977,0.998121953675212
1768205951.112497,0.0007654842408515014,0,0.028571428572448977,0.998469031518297
1768205953.15798,0.0008234204094061939,0,0.028571428572448977,0.9983531591811876
1768205955.158511,0.000850800921880574,0,0.028571428572448977,0.9982983981562389
1768205957.181527,0.000784161674107889,0,0.028571428572448977,0.9984316766517842
1768205959.217683,0.0008449585030538905,0,0.015714285715509188,0.9983100829938922
1768205961.303755,0.0015268202187173699,0,0.014285714286938778,0.9969463595625653
1768205963.282872,0.001284286606060884,0,0.014285714286938778,0.9974314267878782
1768205965.277155,0.0012982731045488762,0,0.014285714286938778,0.9974034537909022
1768205967.3131,0.0012884855351999536,0,0.014285714286938778,0.9974230289296001
1768205969.448116,0.0024092389778952936,0,0.014285714286938778,0.9951815220442094
1768205971.376464,0.0017075203342634183,0,0.029285714286734182,0.9965849593314732
1768205973.377627,0.0009711298644584758,0,0.028571428572448977,0.9980577402710831
1768205975.438609,0.0010245403655427933,0,0.028571428572448977,0.9979509192689144
1768205977.467821,0.0010866495639014835,0,0.028571428572448977,0.997826700872197
1768205979.474506,0.000983064625209641,0,0.028571428572448977,0.9980338707495807
1768205981.482903,0.0008998208251116219,0,0.028571428572448977,0.9982003583497767
1768205983.567058,0.0009518386599529953,0,0.028571428572448977,0.998096322680094
1768205985.533245,0.0011139250751336998,0,0.028571428572448977,0.9977721498497326
1768205987.562562,0.0009735911689787881,0,0.028571428572448977,0.9980528176620425
1768205989.566707,0.0009378424181665821,0,0.028571428572448977,0.9981243151636668
1768205991.602975,0.000990589699374282,0,0.028571428572448977,0.9980188206012515
1768205993.654441,0.0009099258149617826,0,0.028571428572448977,0.9981801483700764
1768205995.663449,0.0009308432621398298,0,0.028571428572448977,0.9981383134757204
1768205997.670854,0.0008767741771081386,0,0.028571428572448977,0.9982464516457837
1768205999.695332,0.000756944781628396,0,0.028571428572448977,0.9984861104367432
1768206001.728156,0.0008374501012737014,0,0.028571428572448977,0.9983250997974525
1768206003.731709,0.0007359016121022833,0,0.028571428572448977,0.9985281967757954
1768206005.791283,0.0008351251444605367,0,0.032142857143875,0.9983297497110789
1768206007.825192,0.0018843950410746004,0,0.028571428572448977,0.9962312099178507
1768206009.850484,0.0012220745985642959,0,0.0547387437450461,0.9975558508028715
1768206011.858632,0.0018249737655685967,0,0.08207337409274035,0.9963500524688628
1768206013.889959,0.0018578618375024415,0,0.08207337409274035,0.9962842763249952
1768206015.926766,0.0018275575413822449,0,0.08207337409274035,0.9963448849172355
1768206017.945633,0.0020081569655257337,0,0.08207337409274035,0.9959836860689485
1768206019.965546,0.0020707838432254748,0,0.08207337409274035,0.9958584323135491
1768206021.968223,0.0010061064129979567,0,0.057595886602186924,0.997987787174004
1768206023.991132,0.0007435188967324228,0,0.028571428572448977,0.9985129622065352
1768206026.015708,0.0006094501024106327,0,0.028571428572448977,0.9987810997951787
1768206028.064173,0.0006577213764842069,0,0.028571428572448977,0.9986845572470315
1768206030.072394,0.0006536309295954017,0,0.028571428572448977,0.9986927381408092
1768206032.094421,0.0006707826244268292,0,0.028571428572448977,0.9986584347511464
1768206034.09265,0.0006564395131193689,0,0.028571428572448977,0.9986871209737612
1768206036.12084,0.0006412521057226955,0,0.028571428572448977,0.9987174957885546
1768206038.176173,0.0006485592555164839,0,0.028571428572448977,0.998702881488967
1768206040.201602,0.0005421131326554527,0,0.028571428572448977,0.9989157737346891
1768206042.19591,0.0007819417080401111,0,0.028571428572448977,0.9984361165839197
1768206044.208761,0.0005786274672144607,0,0.028571428572448977,0.998842745065571
1768206046.2447,0.000665633315440559,0,0.028571428572448977,0.9986687333691189
1768206048.270421,0.0006274431546578996,0,0.028571428572448977,0.9987451136906842
1768206050.339163,0.0005477881008389493,0,0.028571428572448977,0.9989044237983221
1768206052.35042,0.000767837215129655,0,0.028571428572448977,0.9984643255697407
1768206054.46397,0.0007961579782336699,0,0.028571428572448977,0.9984076840435326
1768206056.451913,0.0011050696002113034,0,0.028571428572448977,0.9977898607995774
1768206058.417586,0.0010003289917750817,0,0.028571428572448977,0.9979993420164498
1768206060.417813,0.0009459584731738126,0,0.028571428572448977,0.9981080830536524
1768206062.454655,0.0008304573417643853,0,0.028571428572448977,0.9983390853164712
1768206064.466319,0.0008565774905720735,0,0.028571428572448977,0.9982868450188559
1768206066.500239,0.0007585538281027893,0,0.028571428572448977,0.9984828923437944
1768206068.527491,0.0008403839110682943,0,0.028571428572448977,0.9983192321778634
1768206070.577477,0.0008083891817093755,0,0.028571428572448977,0.9983832216365812
1768206072.579467,0.000857628251145744,0,0.028571428572448977,0.9982847434977085
1768206074.597689,0.0008113759988062821,0,0.028571428572448977,0.9983772480023875
1768206076.635783,0.0008504658757971796,0,0.028571428572448977,0.9982990682484056
1768206078.637874,0.0006514226242529263,0,0.028571428572448977,0.9986971547514941
