metric,before_n,before_mean,before_median,before_std,after_n,after_mean,after_median,after_std,pct_change_mean
calibrated_probability,2,0.5014760480262339,0.5014760480262339,0.4971349253319204,27,0.3195640539957417,0.013823547400534153,0.4455955098459843,-36.27531060485978
confidence,2,0.9942698506638408,0.9942698506638408,0.002952096052467823,27,0.9527595868265187,0.992698360234499,0.12922509714284733,-4.174949467652773
severity,2,0.5026046736165881,0.5026046736165881,0.4973953263834119,27,0.3244290748680079,0.016588256880640983,0.44481110764217624,-35.45044606658421
total_cpu_pct,2,355.5,355.5,166.1,27,84.59629629629629,91.0,67.35176580204077,-76.20357347502214
switch_packets_per_second,2,1939.6520146520156,1939.6520146520156,602.7289377289394,27,1373.0882939053486,1561.219512195124,756.3027510448476,-29.209554933920028
switch_throughput_mbps,2,6.854959157509161,6.854959157509161,2.1428960805860866,27,29.40779075963481,26.15045,21.70026828542232,329.0002330272164
active_mitigations_count,2,0.0,0.0,0.0,27,1.8888888888888888,2.0,0.3142696805273545,nan
unique_attackers_seen,2,0.0,0.0,0.0,27,1.8888888888888888,2.0,0.3142696805273545,nan
